ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Seq_2446,5.00,5.00,5.00,15.00,0.00,0.00,5.00,10.00,10.00,5.00,10.00,5.00,5.00,0.00,5.00,0.00,0.00,5.00,5.00,5.00
Seq_2447,13.33,0.00,13.33,6.67,0.00,6.67,0.00,6.67,13.33,0.00,0.00,6.67,6.67,6.67,6.67,0.00,6.67,0.00,6.67,0.00
Seq_2448,0.00,0.00,7.14,21.43,0.00,0.00,0.00,21.43,14.29,14.29,0.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seq_2449,20.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,13.33,6.67,0.00,6.67,13.33,0.00,20.00,0.00,6.67,0.00,0.00
Seq_2450,11.11,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,22.22,11.11,0.00,0.00,0.00
Seq_2451,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,0.00,0.00,0.00,0.00,8.33,8.33,8.33,0.00
Seq_2452,0.00,0.00,0.00,0.00,0.00,8.33,8.33,16.67,25.00,8.33,0.00,8.33,0.00,0.00,0.00,8.33,8.33,0.00,0.00,8.33
Seq_2453,21.43,0.00,0.00,7.14,7.14,0.00,0.00,14.29,7.14,7.14,7.14,0.00,0.00,0.00,14.29,14.29,0.00,0.00,0.00,0.00
Seq_2454,6.67,0.00,0.00,6.67,13.33,0.00,6.67,6.67,0.00,0.00,0.00,13.33,13.33,0.00,6.67,0.00,6.67,20.00,0.00,0.00
Seq_2455,8.33,0.00,16.67,16.67,0.00,0.00,8.33,16.67,0.00,0.00,0.00,8.33,16.67,0.00,0.00,0.00,8.33,0.00,0.00,0.00
Seq_2456,16.67,0.00,8.33,8.33,8.33,16.67,0.00,0.00,25.00,0.00,8.33,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00
Seq_2457,16.67,0.00,8.33,0.00,8.33,8.33,0.00,0.00,8.33,8.33,0.00,0.00,0.00,0.00,8.33,0.00,0.00,16.67,0.00,16.67
Seq_2458,5.26,0.00,0.00,5.26,5.26,0.00,10.53,10.53,5.26,21.05,0.00,5.26,5.26,0.00,5.26,10.53,10.53,0.00,0.00,0.00
Seq_2459,0.00,5.88,11.76,0.00,5.88,17.65,0.00,11.76,0.00,5.88,0.00,11.76,0.00,5.88,0.00,5.88,0.00,5.88,0.00,11.76
Seq_2460,6.67,0.00,0.00,0.00,6.67,20.00,0.00,0.00,13.33,6.67,0.00,0.00,13.33,6.67,0.00,13.33,0.00,13.33,0.00,0.00
Seq_2461,6.67,0.00,6.67,13.33,0.00,6.67,6.67,13.33,13.33,6.67,6.67,0.00,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00
Seq_2462,0.00,0.00,8.33,0.00,16.67,16.67,0.00,8.33,0.00,0.00,0.00,0.00,0.00,8.33,8.33,16.67,8.33,8.33,0.00,0.00
Seq_2463,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00
Seq_2464,5.00,0.00,15.00,10.00,5.00,5.00,10.00,10.00,0.00,5.00,0.00,5.00,10.00,0.00,0.00,5.00,10.00,0.00,0.00,5.00
Seq_2465,7.14,7.14,7.14,14.29,0.00,0.00,7.14,7.14,14.29,7.14,14.29,0.00,0.00,0.00,7.14,0.00,0.00,0.00,7.14,0.00
Seq_2466,0.00,0.00,11.11,0.00,0.00,0.00,0.00,0.00,11.11,0.00,11.11,0.00,22.22,0.00,0.00,0.00,0.00,33.33,11.11,0.00
Seq_2467,0.00,0.00,5.00,0.00,15.00,5.00,0.00,5.00,5.00,10.00,0.00,20.00,5.00,0.00,0.00,15.00,5.00,5.00,5.00,0.00
Seq_2468,0.00,0.00,13.33,6.67,0.00,0.00,0.00,13.33,13.33,6.67,13.33,6.67,0.00,6.67,6.67,0.00,6.67,0.00,6.67,0.00
Seq_2469,0.00,0.00,0.00,5.88,0.00,11.76,5.88,23.53,5.88,0.00,11.76,5.88,0.00,0.00,0.00,5.88,11.76,5.88,0.00,5.88
Seq_2470,5.00,0.00,0.00,5.00,5.00,5.00,0.00,15.00,10.00,15.00,0.00,10.00,0.00,0.00,10.00,10.00,5.00,0.00,5.00,0.00
Seq_2471,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,21.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seq_2472,40.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00
Seq_2473,13.33,0.00,0.00,13.33,6.67,0.00,6.67,13.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00,13.33,6.67,13.33,0.00,0.00
Seq_2474,21.43,0.00,0.00,0.00,7.14,7.14,7.14,14.29,7.14,0.00,14.29,7.14,0.00,0.00,14.29,0.00,0.00,0.00,0.00,0.00
Seq_2475,5.00,5.00,10.00,5.00,10.00,5.00,0.00,5.00,0.00,10.00,0.00,0.00,5.00,0.00,20.00,5.00,5.00,5.00,0.00,5.00
Seq_2476,0.00,6.67,6.67,0.00,6.67,6.67,0.00,6.67,0.00,13.33,0.00,0.00,0.00,0.00,6.67,13.33,6.67,13.33,0.00,13.33
Seq_2477,10.00,0.00,10.00,0.00,5.00,0.00,5.00,5.00,5.00,15.00,0.00,0.00,15.00,10.00,0.00,5.00,0.00,15.00,0.00,0.00
Seq_2478,22.22,0.00,0.00,0.00,0.00,16.67,0.00,0.00,0.00,5.56,0.00,0.00,5.56,5.56,5.56,0.00,11.11,5.56,5.56,16.67
Seq_2479,5.00,5.00,10.00,5.00,5.00,5.00,5.00,15.00,5.00,5.00,0.00,0.00,5.00,0.00,10.00,10.00,0.00,5.00,0.00,5.00
Seq_2480,0.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,10.00,10.00,0.00,0.00,0.00,10.00,10.00,0.00,10.00
Seq_2481,6.67,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,6.67,6.67,6.67,13.33,0.00,13.33,0.00,13.33
Seq_2482,6.67,0.00,0.00,0.00,0.00,0.00,6.67,20.00,0.00,0.00,20.00,26.67,6.67,0.00,13.33,0.00,0.00,0.00,0.00,0.00
Seq_2483,13.33,0.00,0.00,6.67,6.67,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,6.67,26.67,0.00,13.33
Seq_2484,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,6.67,13.33,6.67,0.00,0.00,20.00,6.67,13.33,0.00,6.67,0.00,0.00
Seq_2485,6.67,0.00,6.67,13.33,13.33,6.67,6.67,0.00,0.00,6.67,6.67,0.00,0.00,0.00,6.67,0.00,6.67,0.00,0.00,20.00
Seq_2486,6.67,0.00,0.00,6.67,6.67,6.67,0.00,0.00,13.33,13.33,0.00,6.67,0.00,13.33,6.67,6.67,0.00,0.00,6.67,6.67
Seq_2487,0.00,0.00,0.00,0.00,6.67,26.67,0.00,13.33,6.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,6.67,20.00,0.00,0.00
Seq_2488,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,13.33,0.00,6.67,6.67,6.67,13.33,6.67,0.00,6.67,13.33,13.33
Seq_2489,6.25,0.00,12.50,12.50,6.25,6.25,0.00,6.25,12.50,6.25,0.00,12.50,0.00,0.00,12.50,6.25,0.00,0.00,0.00,0.00
Seq_2490,6.67,0.00,6.67,0.00,13.33,6.67,0.00,6.67,6.67,13.33,0.00,0.00,0.00,0.00,0.00,13.33,6.67,6.67,0.00,13.33
Seq_2491,6.67,0.00,0.00,6.67,0.00,13.33,0.00,13.33,0.00,6.67,0.00,6.67,6.67,6.67,6.67,6.67,13.33,6.67,0.00,0.00
Seq_2492,0.00,0.00,0.00,0.00,5.88,5.88,5.88,23.53,11.76,17.65,0.00,17.65,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00
Seq_2493,20.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00,26.67,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00
Seq_2494,0.00,0.00,0.00,20.00,6.67,0.00,6.67,6.67,0.00,13.33,0.00,6.67,6.67,0.00,6.67,6.67,6.67,13.33,0.00,0.00
Seq_2495,6.67,0.00,6.67,6.67,0.00,6.67,0.00,13.33,0.00,26.67,0.00,13.33,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00
Seq_2496,11.11,0.00,0.00,11.11,0.00,22.22,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,0.00,11.11,11.11,0.00,0.00
Seq_2497,6.67,0.00,0.00,0.00,20.00,0.00,13.33,6.67,0.00,6.67,0.00,0.00,6.67,0.00,6.67,26.67,6.67,0.00,0.00,0.00
Seq_2498,6.67,13.33,6.67,6.67,0.00,0.00,0.00,6.67,0.00,13.33,0.00,6.67,6.67,0.00,6.67,6.67,0.00,13.33,0.00,6.67
Seq_2499,0.00,0.00,6.67,6.67,6.67,13.33,0.00,6.67,6.67,6.67,0.00,6.67,6.67,0.00,6.67,6.67,6.67,0.00,0.00,13.33
Seq_2500,13.33,0.00,0.00,6.67,13.33,0.00,0.00,0.00,13.33,0.00,0.00,6.67,0.00,0.00,6.67,20.00,0.00,6.67,0.00,13.33
Seq_2501,6.67,13.33,0.00,0.00,0.00,0.00,13.33,0.00,0.00,13.33,6.67,13.33,13.33,6.67,0.00,6.67,0.00,0.00,0.00,6.67
Seq_2502,6.67,0.00,13.33,0.00,6.67,0.00,6.67,6.67,0.00,6.67,0.00,6.67,6.67,0.00,13.33,6.67,0.00,13.33,0.00,6.67
Seq_2503,26.67,0.00,6.67,6.67,0.00,0.00,0.00,6.67,0.00,13.33,0.00,0.00,0.00,0.00,6.67,0.00,13.33,13.33,0.00,6.67
Seq_2504,20.00,0.00,6.67,6.67,6.67,0.00,0.00,0.00,13.33,13.33,0.00,0.00,6.67,0.00,0.00,6.67,0.00,13.33,0.00,6.67
Seq_2505,0.00,0.00,0.00,0.00,0.00,20.00,0.00,13.33,0.00,6.67,0.00,0.00,0.00,6.67,6.67,26.67,0.00,0.00,0.00,20.00
Seq_2506,20.00,0.00,6.67,6.67,0.00,6.67,0.00,6.67,6.67,13.33,0.00,0.00,0.00,0.00,0.00,6.67,20.00,6.67,0.00,0.00
Seq_2507,6.67,0.00,6.67,0.00,6.67,0.00,0.00,6.67,13.33,6.67,0.00,6.67,6.67,0.00,6.67,0.00,13.33,13.33,0.00,6.67
Seq_2508,0.00,0.00,13.33,0.00,6.67,6.67,0.00,0.00,6.67,20.00,0.00,6.67,6.67,0.00,0.00,13.33,6.67,0.00,0.00,13.33
Seq_2509,0.00,0.00,6.25,0.00,0.00,0.00,0.00,6.25,12.50,6.25,0.00,0.00,6.25,6.25,0.00,18.75,6.25,25.00,0.00,6.25
Seq_2510,6.67,0.00,13.33,26.67,0.00,6.67,0.00,0.00,0.00,0.00,6.67,6.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,13.33
Seq_2511,0.00,0.00,6.67,6.67,6.67,0.00,0.00,6.67,26.67,6.67,0.00,0.00,13.33,0.00,0.00,0.00,13.33,0.00,0.00,13.33
Seq_2512,13.33,0.00,0.00,0.00,6.67,0.00,0.00,13.33,13.33,13.33,0.00,6.67,0.00,13.33,0.00,6.67,0.00,13.33,0.00,0.00
Seq_2513,0.00,0.00,12.50,0.00,0.00,12.50,0.00,6.25,0.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,25.00,18.75,0.00,0.00
Seq_2514,0.00,0.00,0.00,0.00,0.00,11.11,0.00,0.00,22.22,11.11,0.00,0.00,0.00,0.00,0.00,11.11,11.11,22.22,0.00,11.11
Seq_2515,0.00,6.25,0.00,0.00,25.00,6.25,6.25,0.00,6.25,6.25,0.00,12.50,12.50,6.25,0.00,0.00,6.25,6.25,0.00,0.00
Seq_2516,6.67,0.00,0.00,0.00,0.00,0.00,6.67,13.33,6.67,0.00,0.00,0.00,0.00,13.33,6.67,26.67,0.00,13.33,0.00,6.67
Seq_2517,0.00,12.50,0.00,6.25,0.00,6.25,6.25,12.50,6.25,0.00,0.00,0.00,6.25,6.25,6.25,6.25,0.00,0.00,6.25,18.75
Seq_2518,0.00,0.00,13.33,0.00,0.00,6.67,6.67,6.67,0.00,6.67,6.67,6.67,0.00,0.00,6.67,20.00,0.00,0.00,20.00,0.00
Seq_2519,18.75,0.00,6.25,0.00,0.00,6.25,0.00,6.25,6.25,18.75,0.00,6.25,12.50,6.25,6.25,0.00,0.00,6.25,0.00,0.00
Seq_2520,0.00,0.00,0.00,7.14,7.14,7.14,7.14,0.00,0.00,0.00,0.00,7.14,0.00,7.14,14.29,7.14,7.14,21.43,0.00,7.14
Seq_2521,13.33,0.00,0.00,6.67,13.33,0.00,0.00,6.67,13.33,6.67,0.00,6.67,13.33,0.00,13.33,0.00,0.00,0.00,0.00,6.67
Seq_2522,6.67,0.00,20.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67,13.33,0.00,13.33
Seq_2523,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,6.67,20.00,0.00,0.00,0.00,0.00,6.67,26.67,13.33,0.00,0.00,0.00
Seq_2524,0.00,0.00,0.00,0.00,13.33,0.00,0.00,20.00,0.00,26.67,0.00,0.00,0.00,0.00,0.00,13.33,20.00,0.00,6.67,0.00
Seq_2525,6.67,0.00,6.67,33.33,0.00,6.67,0.00,0.00,0.00,0.00,6.67,0.00,13.33,6.67,0.00,6.67,0.00,0.00,0.00,13.33
Seq_2526,12.50,0.00,6.25,0.00,0.00,18.75,0.00,6.25,6.25,0.00,0.00,12.50,0.00,0.00,0.00,18.75,0.00,0.00,6.25,12.50
Seq_2527,6.67,0.00,13.33,6.67,0.00,6.67,0.00,13.33,26.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,0.00
Seq_2528,6.67,0.00,0.00,0.00,0.00,6.67,0.00,6.67,13.33,13.33,13.33,6.67,6.67,6.67,0.00,0.00,0.00,6.67,0.00,13.33
Seq_2529,13.33,0.00,6.67,0.00,6.67,6.67,0.00,6.67,6.67,0.00,0.00,0.00,6.67,6.67,0.00,13.33,0.00,20.00,6.67,0.00
Seq_2530,7.69,0.00,7.69,0.00,7.69,7.69,7.69,7.69,0.00,15.38,0.00,7.69,7.69,7.69,0.00,7.69,0.00,7.69,0.00,0.00
Seq_2531,0.00,0.00,6.67,6.67,0.00,0.00,0.00,13.33,6.67,13.33,0.00,13.33,13.33,0.00,0.00,0.00,20.00,6.67,0.00,0.00
Seq_2532,13.33,0.00,0.00,0.00,0.00,0.00,0.00,6.67,13.33,13.33,0.00,13.33,6.67,0.00,0.00,6.67,0.00,13.33,0.00,13.33
Seq_2533,6.67,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,6.67,0.00,26.67,0.00,0.00,6.67,13.33,6.67,13.33,6.67,0.00
Seq_2534,20.00,6.67,6.67,6.67,13.33,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,6.67,13.33,0.00,0.00,0.00,0.00,0.00
Seq_2535,0.00,0.00,6.25,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,18.75,0.00,6.25,31.25,6.25,0.00,0.00,6.25
Seq_2536,6.67,6.67,6.67,6.67,0.00,6.67,0.00,6.67,6.67,0.00,13.33,0.00,0.00,0.00,0.00,20.00,13.33,6.67,0.00,0.00
Seq_2537,46.67,0.00,0.00,0.00,6.67,13.33,0.00,0.00,6.67,6.67,0.00,6.67,6.67,0.00,0.00,0.00,0.00,6.67,0.00,0.00
Seq_2538,13.33,0.00,6.67,13.33,20.00,0.00,0.00,6.67,6.67,13.33,0.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,0.00,0.00
Seq_2539,13.33,0.00,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,0.00,13.33,0.00,6.67,0.00,0.00,6.67,0.00,0.00
Seq_2540,6.67,0.00,0.00,0.00,20.00,0.00,0.00,6.67,6.67,26.67,6.67,0.00,0.00,0.00,0.00,6.67,13.33,6.67,0.00,0.00
Seq_2541,6.67,6.67,6.67,6.67,6.67,0.00,0.00,6.67,0.00,13.33,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,0.00,26.67
Seq_2542,0.00,0.00,6.67,0.00,20.00,6.67,6.67,13.33,6.67,6.67,0.00,20.00,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00
Seq_2543,20.00,0.00,6.67,6.67,0.00,13.33,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,13.33,6.67,0.00,0.00,13.33
Seq_2544,0.00,0.00,0.00,13.33,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,0.00,0.00,26.67,6.67,6.67,6.67,0.00,6.67
Seq_2545,0.00,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.00,20.00,6.67,6.67,6.67,13.33,6.67,6.67,6.67,13.33,0.00,0.00
Seq_2546,0.00,6.67,0.00,0.00,6.67,0.00,0.00,6.67,0.00,33.33,6.67,0.00,6.67,6.67,6.67,6.67,6.67,0.00,6.67,0.00
Seq_2547,6.67,0.00,6.67,0.00,0.00,0.00,0.00,6.67,13.33,20.00,6.67,6.67,0.00,6.67,0.00,13.33,0.00,13.33,0.00,0.00
Seq_2548,6.67,0.00,13.33,13.33,6.67,6.67,6.67,6.67,6.67,13.33,6.67,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seq_2549,0.00,0.00,6.67,13.33,13.33,6.67,6.67,6.67,0.00,13.33,0.00,13.33,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00
Seq_2550,6.67,0.00,0.00,6.67,13.33,0.00,13.33,6.67,6.67,13.33,0.00,6.67,0.00,0.00,0.00,6.67,6.67,13.33,0.00,0.00
Seq_2551,6.67,0.00,6.67,0.00,13.33,6.67,6.67,0.00,0.00,20.00,0.00,0.00,13.33,6.67,0.00,0.00,13.33,6.67,0.00,0.00
Seq_2552,0.00,0.00,0.00,14.29,0.00,7.14,7.14,21.43,7.14,7.14,0.00,14.29,0.00,0.00,0.00,0.00,7.14,7.14,7.14,0.00
Seq_2553,0.00,0.00,0.00,6.25,0.00,37.50,0.00,6.25,0.00,0.00,0.00,0.00,18.75,6.25,0.00,0.00,12.50,12.50,0.00,0.00
Seq_2554,6.67,13.33,0.00,6.67,6.67,0.00,20.00,0.00,0.00,13.33,0.00,0.00,0.00,13.33,6.67,0.00,6.67,0.00,0.00,6.67
Seq_2555,0.00,6.67,0.00,0.00,20.00,0.00,0.00,20.00,20.00,13.33,6.67,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00
Seq_2556,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,13.33,0.00,0.00,13.33,6.67,6.67,20.00,0.00,13.33,0.00,6.67,6.67
Seq_2557,13.33,0.00,0.00,0.00,6.67,6.67,0.00,6.67,6.67,6.67,0.00,20.00,0.00,0.00,6.67,6.67,0.00,13.33,0.00,6.67
Seq_2558,0.00,0.00,10.00,20.00,0.00,10.00,0.00,10.00,0.00,10.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00
Seq_2559,6.67,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,20.00,0.00,0.00,0.00,6.67,20.00,6.67,0.00,6.67,0.00,0.00
Seq_2560,6.67,0.00,0.00,0.00,6.67,6.67,6.67,6.67,0.00,13.33,6.67,6.67,20.00,0.00,0.00,6.67,0.00,0.00,6.67,6.67
Seq_2561,6.67,0.00,0.00,0.00,0.00,20.00,6.67,13.33,0.00,6.67,6.67,0.00,0.00,0.00,0.00,20.00,13.33,6.67,0.00,0.00
Seq_2562,6.25,0.00,0.00,6.25,0.00,37.50,0.00,0.00,6.25,6.25,0.00,6.25,25.00,0.00,0.00,0.00,0.00,6.25,0.00,0.00
Seq_2563,6.67,6.67,13.33,0.00,0.00,6.67,0.00,13.33,0.00,0.00,6.67,6.67,0.00,0.00,6.67,6.67,13.33,13.33,0.00,0.00
Seq_2564,5.00,0.00,5.00,10.00,5.00,0.00,0.00,20.00,10.00,0.00,0.00,0.00,5.00,0.00,10.00,0.00,5.00,5.00,5.00,15.00
Seq_2565,13.33,0.00,0.00,6.67,0.00,0.00,0.00,6.67,13.33,20.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00,13.33,0.00,6.67
Seq_2566,13.33,0.00,13.33,0.00,6.67,26.67,0.00,6.67,6.67,6.67,0.00,0.00,0.00,6.67,0.00,0.00,0.00,0.00,0.00,13.33
Seq_2567,13.33,0.00,6.67,6.67,6.67,6.67,0.00,6.67,13.33,6.67,6.67,6.67,0.00,6.67,0.00,0.00,0.00,13.33,0.00,0.00
Seq_2568,0.00,0.00,6.67,0.00,13.33,0.00,0.00,6.67,0.00,0.00,13.33,20.00,0.00,0.00,0.00,13.33,6.67,20.00,0.00,0.00
Seq_2569,0.00,0.00,6.67,6.67,13.33,0.00,0.00,0.00,13.33,20.00,0.00,13.33,6.67,0.00,0.00,0.00,13.33,0.00,0.00,6.67
Seq_2570,12.50,6.25,0.00,6.25,0.00,0.00,0.00,0.00,25.00,6.25,0.00,6.25,12.50,0.00,6.25,18.75,0.00,0.00,0.00,0.00
Seq_2571,0.00,0.00,0.00,13.33,6.67,6.67,0.00,6.67,0.00,13.33,0.00,6.67,0.00,6.67,6.67,6.67,6.67,0.00,0.00,20.00
Seq_2572,0.00,6.67,6.67,6.67,0.00,6.67,0.00,13.33,6.67,6.67,13.33,6.67,13.33,0.00,0.00,0.00,6.67,0.00,0.00,6.67
Seq_2573,46.67,0.00,0.00,0.00,6.67,0.00,0.00,6.67,6.67,0.00,0.00,13.33,6.67,0.00,0.00,0.00,13.33,0.00,0.00,0.00
Seq_2574,0.00,6.67,0.00,0.00,26.67,6.67,0.00,13.33,0.00,33.33,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,0.00,0.00
Seq_2575,0.00,6.67,0.00,13.33,6.67,6.67,0.00,6.67,13.33,0.00,0.00,0.00,6.67,6.67,13.33,0.00,0.00,13.33,0.00,6.67
Seq_2576,0.00,0.00,6.67,6.67,6.67,13.33,0.00,0.00,6.67,13.33,0.00,13.33,0.00,6.67,0.00,6.67,0.00,13.33,0.00,6.67
Seq_2577,0.00,0.00,0.00,13.33,6.67,6.67,6.67,13.33,0.00,20.00,0.00,0.00,0.00,6.67,0.00,6.67,6.67,6.67,0.00,6.67
Seq_2578,0.00,0.00,13.33,6.67,6.67,0.00,0.00,6.67,20.00,13.33,6.67,6.67,0.00,0.00,6.67,6.67,0.00,6.67,0.00,0.00
Seq_2579,6.67,0.00,0.00,6.67,0.00,6.67,6.67,13.33,6.67,13.33,6.67,0.00,6.67,0.00,13.33,6.67,0.00,0.00,0.00,6.67
Seq_2580,0.00,0.00,6.67,20.00,13.33,6.67,0.00,0.00,26.67,13.33,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67
Seq_2581,6.67,0.00,0.00,0.00,6.67,20.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,6.67,0.00,26.67,6.67,0.00,0.00,6.67
Seq_2582,0.00,0.00,16.67,16.67,0.00,8.33,0.00,8.33,0.00,8.33,8.33,0.00,0.00,0.00,0.00,16.67,8.33,0.00,0.00,8.33
Seq_2583,13.33,0.00,13.33,0.00,13.33,0.00,0.00,0.00,6.67,20.00,0.00,6.67,6.67,0.00,6.67,6.67,0.00,6.67,0.00,0.00
Seq_2584,0.00,0.00,0.00,13.33,0.00,0.00,13.33,6.67,6.67,20.00,0.00,6.67,0.00,6.67,0.00,6.67,0.00,20.00,0.00,0.00
Seq_2585,0.00,6.67,6.67,0.00,0.00,6.67,0.00,0.00,0.00,13.33,6.67,6.67,6.67,13.33,6.67,0.00,6.67,20.00,0.00,0.00
Seq_2586,0.00,0.00,0.00,0.00,6.67,0.00,0.00,33.33,6.67,13.33,6.67,0.00,0.00,0.00,0.00,0.00,13.33,20.00,0.00,0.00
Seq_2587,6.25,0.00,12.50,0.00,0.00,12.50,0.00,0.00,6.25,18.75,0.00,0.00,0.00,0.00,6.25,6.25,18.75,12.50,0.00,0.00
Seq_2588,6.67,0.00,0.00,13.33,0.00,6.67,6.67,6.67,0.00,13.33,6.67,13.33,0.00,0.00,13.33,13.33,0.00,0.00,0.00,0.00
Seq_2589,13.33,0.00,6.67,13.33,0.00,6.67,0.00,13.33,6.67,6.67,0.00,0.00,6.67,0.00,6.67,0.00,6.67,13.33,0.00,0.00
Seq_2590,21.43,0.00,7.14,7.14,0.00,7.14,7.14,0.00,7.14,14.29,0.00,0.00,0.00,0.00,0.00,7.14,7.14,14.29,0.00,0.00
Seq_2591,6.67,0.00,0.00,0.00,0.00,13.33,6.67,6.67,6.67,6.67,0.00,0.00,0.00,6.67,6.67,13.33,0.00,6.67,0.00,20.00
Seq_2592,0.00,0.00,6.67,6.67,0.00,13.33,0.00,6.67,0.00,20.00,13.33,0.00,0.00,6.67,6.67,0.00,13.33,6.67,0.00,0.00
Seq_2593,0.00,0.00,0.00,0.00,0.00,6.67,0.00,0.00,6.67,0.00,6.67,6.67,0.00,6.67,6.67,26.67,6.67,13.33,0.00,13.33
Seq_2594,6.67,0.00,0.00,6.67,6.67,6.67,6.67,0.00,6.67,13.33,0.00,13.33,0.00,0.00,0.00,6.67,6.67,6.67,0.00,13.33
Seq_2595,6.67,0.00,0.00,6.67,0.00,0.00,6.67,0.00,6.67,26.67,0.00,20.00,0.00,0.00,0.00,6.67,6.67,6.67,0.00,6.67
Seq_2596,0.00,0.00,13.33,6.67,6.67,0.00,13.33,0.00,13.33,20.00,0.00,6.67,0.00,0.00,0.00,6.67,6.67,0.00,0.00,6.67
Seq_2597,10.00,0.00,15.00,0.00,0.00,10.00,0.00,5.00,5.00,10.00,0.00,10.00,5.00,0.00,0.00,5.00,0.00,15.00,0.00,10.00
Seq_2598,0.00,0.00,13.33,6.67,13.33,13.33,0.00,6.67,6.67,13.33,0.00,0.00,0.00,6.67,0.00,0.00,0.00,6.67,0.00,13.33
Seq_2599,13.33,6.67,0.00,0.00,13.33,6.67,0.00,6.67,0.00,13.33,0.00,0.00,0.00,6.67,6.67,6.67,0.00,0.00,6.67,13.33
Seq_2600,15.38,0.00,15.38,0.00,15.38,7.69,0.00,7.69,0.00,7.69,0.00,0.00,0.00,0.00,0.00,30.77,0.00,0.00,0.00,0.00
Seq_2601,0.00,0.00,0.00,12.50,6.25,12.50,6.25,6.25,0.00,6.25,0.00,12.50,12.50,0.00,0.00,6.25,0.00,18.75,0.00,0.00
Seq_2602,13.33,0.00,13.33,0.00,6.67,13.33,0.00,6.67,0.00,6.67,13.33,13.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.33
Seq_2603,6.67,0.00,0.00,0.00,0.00,0.00,13.33,0.00,0.00,26.67,6.67,13.33,0.00,6.67,0.00,13.33,0.00,0.00,0.00,13.33
Seq_2604,0.00,0.00,0.00,0.00,0.00,6.67,6.67,13.33,6.67,6.67,0.00,0.00,6.67,0.00,6.67,20.00,6.67,6.67,0.00,13.33
